run_idx,start_idx,end_idx,skip_range,search_skip_layers,total_skip_layers,l2_mean,l2_max,l2_std,value_diff_mean,value_diff_max,bin_idx_dist_mean,bin_idx_dist_max,bin_idx_dist_std,anomalies,has_nan,has_inf,has_extremes,always_exclude_layers,always_include_layers
86,1,17,1-17,17,17,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
87,1,18,1-18,18,18,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
88,1,19,1-19,19,19,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
89,1,20,1-20,20,20,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
90,1,21,1-21,21,21,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
91,1,22,1-22,22,22,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
92,1,23,1-23,23,23,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
93,1,24,1-24,24,24,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
94,1,25,1-25,25,25,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
95,1,26,1-26,26,26,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
96,1,27,1-27,27,27,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
97,2,8,2-8,7,7,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
98,2,19,2-19,18,18,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
99,2,28,2-28,27,27,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
100,3,13,3-13,11,11,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
101,3,19,3-19,17,17,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
102,3,28,3-28,26,26,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
103,4,13,4-13,10,10,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
104,4,16,4-16,13,13,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
105,4,24,4-24,21,21,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
106,4,28,4-28,25,25,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
107,5,14,5-14,10,10,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
108,5,16,5-16,12,12,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
109,5,19,5-19,15,15,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
110,5,24,5-24,20,20,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
111,5,27,5-27,23,23,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
112,5,28,5-28,24,24,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
